id,x,y,ready_time,due_time,service_time
0,0.0,0.0,540.0,1020.0,0.0
1,114.0,-320.0,540.0,1020.0,60.0
2,-456.0,-320.0,540.0,1020.0,60.0
3,228.0,-320.0,540.0,1020.0,60.0
4,-342.0,-160.0,540.0,1020.0,60.0
5,-114.0,-160.0,540.0,1020.0,60.0
6,0.0,-80.0,540.0,1020.0,60.0
7,342.0,80.0,540.0,1020.0,60.0
8,-228.0,240.0,540.0,1020.0,60.0
9,456.0,80.0,540.0,1020.0,60.0
10,114.0,160.0,540.0,1020.0,60.0
11,456.0,160.0,540.0,1020.0,60.0
12,-114.0,-320.0,540.0,1020.0,60.0
13,-456.0,-80.0,540.0,1020.0,60.0
14,-114.0,-240.0,540.0,1020.0,60.0
15,-342.0,320.0,540.0,1020.0,60.0
16,-342.0,-320.0,540.0,1020.0,60.0
17,-114.0,-80.0,540.0,1020.0,60.0
18,-228.0,-160.0,540.0,1020.0,60.0
19,-114.0,240.0,540.0,1020.0,60.0
20,342.0,-320.0,540.0,1020.0,60.0
